beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
1.0,303,m0,c09_storm2_w80_u100_0024.json,4396.206800,2476.737200,2033.463200,2834.593600,1996.894800
1.0,303,m0,c09_storm2_w80_u100_0025.json,6411.756400,3112.762400,2642.159600,4054.931600,2533.840800
1.0,303,m0,c09_storm2_w80_u100_0026.json,5006.202000,2543.850800,2486.926800,4109.313600,1938.243600
1.0,303,m0,c09_storm2_w80_u100_0027.json,2535.368000,1923.285200,1673.293200,2061.197200,1685.882800
1.0,303,m0,c09_storm2_w80_u100_0028.json,2083.722400,1302.622800,1302.398000,2021.848800,1316.495200
1.0,303,m0,c09_storm2_w80_u100_0029.json,4540.255600,1890.822000,1475.116400,2328.602400,1226.778800
1.0,303,m2t,c09_storm2_w80_u100_0020.json,2113.920800,1808.272800,1692.816400,1974.308800,1660.290800
1.0,303,m2t,c09_storm2_w80_u100_0021.json,2468.501600,2158.043200,2153.151600,2425.110000,2178.691200
1.0,303,m2t,c09_storm2_w80_u100_0022.json,1216.011200,1054.651600,1032.859600,1099.216000,991.862400
1.0,303,m2t,c09_storm2_w80_u100_0023.json,5676.362400,4337.612800,3196.116400,4018.612400,2621.206400
1.0,303,m2t,c09_storm2_w80_u100_0024.json,4396.206800,3400.928000,2618.012800,2834.593600,1996.894800
1.0,303,m2t,c09_storm2_w80_u100_0025.json,6411.756400,4582.551200,3182.842800,4054.931600,2533.840800
1.0,303,m2t,c09_storm2_w80_u100_0026.json,5006.202000,3523.881600,3060.887200,4109.313600,1938.243600
1.0,303,m2t,c09_storm2_w80_u100_0027.json,2535.368000,2017.548800,1858.232800,2061.197200,1685.882800
1.0,303,m2t,c09_storm2_w80_u100_0028.json,2083.722400,1330.304800,1336.500800,2021.848800,1316.495200
1.0,303,m2t,c09_storm2_w80_u100_0029.json,4540.255600,3676.508800,1916.130800,2328.602400,1226.778800
1.0,303,m2a,c09_storm2_w80_u100_0020.json,2113.920800,1871.506800,1733.987600,1974.308800,1660.290800
1.0,303,m2a,c09_storm2_w80_u100_0021.json,2468.501600,2200.881600,2181.798800,2425.110000,2178.691200
1.0,303,m2a,c09_storm2_w80_u100_0022.json,1216.011200,992.692000,1009.731200,1099.216000,991.862400
1.0,303,m2a,c09_storm2_w80_u100_0023.json,5676.362400,4538.340400,3210.568800,4018.612400,2621.206400
1.0,303,m2a,c09_storm2_w80_u100_0024.json,4396.206800,3596.519600,2472.320800,2834.593600,1996.894800
1.0,303,m2a,c09_storm2_w80_u100_0025.json,6411.756400,4765.603200,3313.109200,4054.931600,2533.840800
