campus,track,size,alpha,inst_id,n_bldg,n_restr_bldg,n_restr_jobs,rule_rec,rule_access,rule_twt,rule_feas,reorder_twt,reorder_access,reorder_feas,defer_twt,defer_rec,defer_access,defer_feas
5,replay,150,0.2,c05_replay_150_0068,74,19,41,0.0,704.0,704.0,True,704.0,704.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0069,72,12,24,21.729600000000005,384.0,405.7296,True,405.7296,384.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0069,72,15,29,21.729600000000005,448.0,469.7296,True,469.7296,448.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0070,58,5,8,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0070,58,13,32,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0071,73,8,16,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0071,73,15,26,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0072,75,8,13,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0072,75,17,29,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0073,70,9,25,0.0,704.0,704.0,True,704.0,704.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0073,70,15,39,0.0,960.0,960.0,True,960.0,960.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0074,73,10,24,6.0,448.0,454.0,True,454.0,448.0,True,6.0978000000000065,6.0978000000000065,0.0,True
5,replay,150,0.2,c05_replay_150_0074,73,15,33,6.0,512.0,518.0,True,518.0,512.0,True,9.097800000000007,9.097800000000007,0.0,True
5,replay,150,0.1,c05_replay_150_0075,68,6,9,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0075,68,10,17,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0076,68,6,16,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0076,68,13,31,0.0,640.0,640.0,True,640.0,640.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0077,73,7,11,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
