campus,track,level,rule,beta,inst_id,twt_rule,twt_oracle
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0027,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0027,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0027,9.4600,9.4600
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0027,9.4600,9.4600
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0028,81.8988,81.8988
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0028,81.8988,81.8988
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0028,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0028,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0029,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0029,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0029,5.0756,5.0756
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0029,5.0756,5.0756
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0000,13.6214,13.6214
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0000,13.6214,13.6214
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0000,46.0834,46.0834
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0000,46.0834,46.0834
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0001,39.8872,39.8872
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0001,39.8872,39.8872
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0001,7.8872,7.8872
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0001,7.8872,7.8872
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0002,9.4316,9.4316
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0002,9.4316,9.4316
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0002,9.4316,9.4316
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0002,9.4316,9.4316
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0003,6.7882,6.7882
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0003,6.7882,6.7882
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0003,6.7882,6.7882
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0003,6.7882,6.7882
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0004,0.0000,0.0000
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0004,0.0000,0.0000
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0004,0.0000,0.0000
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0004,0.0000,0.0000
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0005,40.6380,40.6380
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0005,40.6380,40.6380
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0005,25.4994,25.4994
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0005,25.4994,25.4994
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0006,20.7728,20.7728
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0006,20.7728,20.7728
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0006,37.2120,37.2120
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0006,37.2120,37.2120
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0007,0.0000,0.0000
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0007,0.0000,0.0000
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0007,1.8182,1.8182
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0007,1.8182,1.8182
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0008,0.0000,0.0000
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0008,0.0000,0.0000
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0008,0.0000,0.0000
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0008,0.0000,0.0000
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0009,15.1246,15.1246
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0009,15.1246,15.1246
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0009,15.1246,15.1246
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0009,15.1246,15.1246
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0010,3.6590,3.6590
