scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct,wins,ties,losses
pooled_loaded,9+12,storm/150/a300_c100,edd,0.5,60,276.2541,276.2541,0.0000,0.0000,0,60,0
campus,5,storm/150/a300_c100,edd,1.0,30,7.3340,7.3340,0.0000,0.0000,0,30,0
campus,9,storm/150/a300_c100,edd,1.0,30,55.0619,55.0619,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c100,edd,1.0,30,15.9598,15.9598,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c100,edd,1.0,30,435.3137,435.3137,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a300_c100,edd,1.0,60,245.1878,245.1878,0.0000,0.0000,0,60,0
campus,5,storm/150/a300_c80,atc,0.5,30,3.2011,3.1768,0.0243,0.7587,0,30,0
campus,9,storm/150/a300_c80,atc,0.5,30,84.3321,84.3321,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c80,atc,0.5,30,19.9627,19.9627,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c80,atc,0.5,30,377.2650,377.1366,0.1285,0.0340,1,29,0
pooled_loaded,9+12,storm/150/a300_c80,atc,0.5,60,230.7986,230.7343,0.0642,0.0278,1,59,0
campus,5,storm/150/a300_c80,atc,1.0,30,16.6745,16.6597,0.0148,0.0885,0,30,0
campus,9,storm/150/a300_c80,atc,1.0,30,85.2410,85.2410,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c80,atc,1.0,30,27.5942,27.5942,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c80,atc,1.0,30,349.0797,349.0767,0.0030,0.0008,0,30,0
pooled_loaded,9+12,storm/150/a300_c80,atc,1.0,60,217.1604,217.1589,0.0015,0.0007,0,60,0
campus,5,storm/150/a300_c80,edd,0.5,30,3.2011,3.1792,0.0219,0.6852,0,30,0
campus,9,storm/150/a300_c80,edd,0.5,30,84.3321,84.3321,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c80,edd,0.5,30,19.9627,19.9627,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c80,edd,0.5,30,377.0578,377.0578,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a300_c80,edd,0.5,60,230.6949,230.6949,0.0000,0.0000,0,60,0
campus,5,storm/150/a300_c80,edd,1.0,30,16.6771,16.6336,0.0435,0.2608,0,30,0
campus,9,storm/150/a300_c80,edd,1.0,30,85.2410,85.2410,0.0000,0.0000,0,30,0
campus,10,storm/150/a300_c80,edd,1.0,30,27.5942,27.5942,0.0000,0.0000,0,30,0
campus,12,storm/150/a300_c80,edd,1.0,30,348.9997,348.9979,0.0018,0.0005,0,30,0
pooled_loaded,9+12,storm/150/a300_c80,edd,1.0,60,217.1204,217.1195,0.0009,0.0004,0,60,0
