campus,track,size,level,beta,inst_id,nwo,status_rule,status_rule_fair,status_oracle,both_opt,both_opt_fair,twt_rule,twt_rule_fair,twt_oracle
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0014,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,531.7187,215.7228,215.7228
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0014,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,212.8087,89.1362,89.1362
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0015,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,613.7525,491.6084,491.6084
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0015,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,273.4425,232.6606,232.6606
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0016,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,185.4253,118.2532,118.2532
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0016,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,248.9532,248.9532,248.9532
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0017,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,505.0986,239.5548,239.5548
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0017,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,584.8514,255.0108,255.0108
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0018,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,526.9634,148.6184,148.6184
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0018,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,298.6346,218.7346,218.7346
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0019,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,191.5958,112.0558,112.0558
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0019,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,181.9051,111.2074,111.2074
12,storm,150,a200_c100,0.5,c12_storm_150_a200_c100_0000,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,543.5492,473.9436,473.9436
12,storm,150,a200_c100,1.0,c12_storm_150_a200_c100_0000,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,277.4248,207.8192,207.8192
12,storm,150,a200_c100,0.5,c12_storm_150_a200_c100_0001,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,991.9076,878.6038,878.6038
12,storm,150,a200_c100,1.0,c12_storm_150_a200_c100_0001,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,912.2501,729.9766,729.9766
12,storm,150,a200_c100,0.5,c12_storm_150_a200_c100_0002,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,1751.4674,1315.5407,1315.5407
12,storm,150,a200_c100,1.0,c12_storm_150_a200_c100_0002,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,1354.6632,924.5072,924.5072
12,storm,150,a200_c100,0.5,c12_storm_150_a200_c100_0003,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,664.6790,472.1554,472.1554
12,storm,150,a200_c100,1.0,c12_storm_150_a200_c100_0003,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,878.5796,694.2452,694.2452
