source,campus,crew_m,beta,inst_id,window_bh,pooled_u,worst_u,twt_rule_atc,twt_oracle_atc,twt_rule_edd,twt_oracle_edd,feas_rule_atc,feas_oracle_atc,feas_rule_edd,feas_oracle_edd,incomplete_rule_atc
replay,12,1.0,1.0,c12_replay_400_0034,24.0,0.6298453405017922,1.4049479166666667,1220.9296,1220.9296,1220.9296,1220.9296,1,1,1,1,98
replay,12,1.0,0.5,c12_replay_400_0035,26.4333,0.4087717801702471,0.8239771342438778,1287.7184000000002,1287.7184000000002,1287.7184000000002,1287.7184000000002,1,1,1,1,65
replay,12,1.0,1.0,c12_replay_400_0035,26.4333,0.4087717801702471,0.8239771342438778,1368.2592,1368.2592,1368.2592,1368.2592,1,1,1,1,65
replay,12,1.0,0.5,c12_replay_400_0036,24.0,0.5485455645161291,1.3668492424242422,1013.4592,1013.4592,1013.4592,1013.4592,1,1,1,1,67
replay,12,1.0,1.0,c12_replay_400_0036,24.0,0.5485455645161291,1.3668492424242422,1111.4592,1111.4592,1111.4592,1111.4592,1,1,1,1,67
replay,12,1.0,0.5,c12_replay_400_0037,17.9989,0.9169793351170742,1.5608292464433673,2182.5888,2182.5888,2182.5888,2182.5888,1,1,1,1,94
replay,12,1.0,1.0,c12_replay_400_0037,17.9989,0.9169793351170742,1.5608292464433673,1121.6592,1121.6592,1121.6592,1121.6592,1,1,1,1,94
replay,12,1.0,0.5,c12_replay_400_0038,16.0,0.7023552419354839,1.62785,3459.7552,3439.7552,3435.7552,3439.7552,1,1,1,1,197
replay,12,1.0,1.0,c12_replay_400_0038,16.0,0.7023552419354839,1.62785,3318.4848,3302.4848,3288.4848,3292.4848,1,1,1,1,197
replay,12,1.0,0.5,c12_replay_400_0039,18.2553,0.8264169150700028,2.1341919489525942,1085.1888,1085.1888,1085.1888,1085.1888,1,1,1,1,83
replay,12,1.0,1.0,c12_replay_400_0039,18.2553,0.8264169150700028,2.1341919489525942,923.1296,923.1296,923.1296,923.1296,1,1,1,1,83
