part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0020,1983,0.9084584217171718,1.215525144345238,0,2177.667200,1502.645600,1504.394400,2154.681600,1471.321600,0.2502,0.0315,0.2500,0.0381
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0021,1983,0.9084584217171718,1.215525144345238,0,1754.070800,1714.508400,1724.693600,1719.228400,1714.508400,0.2496,0.0199,0.2486,0.0000
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0022,1983,0.9084584217171718,1.215525144345238,0,1255.530000,1204.615200,1218.304800,1245.562400,1204.615200,0.2492,0.0158,0.2490,0.0000
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0023,1983,0.9084584217171718,1.215525144345238,0,1251.113600,1207.516400,1185.189600,1242.408800,1190.050000,0.2490,0.0281,0.2481,0.0156
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0024,1983,0.9084584217171718,1.215525144345238,0,2040.184000,1455.388800,1434.189200,1727.396400,1449.343200,0.2500,0.0505,0.2505,0.0106
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0025,1983,0.9084584217171718,1.215525144345238,0,1653.087600,1571.213200,1550.068000,1621.426000,1571.213200,0.2492,0.0097,0.2490,0.0000
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0026,1983,0.9084584217171718,1.215525144345238,0,1769.389600,1308.895600,1308.659600,1655.275200,1299.643200,0.2504,0.0250,0.2443,0.0064
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0027,1983,0.9084584217171718,1.215525144345238,0,1752.833600,916.214800,803.994000,1041.454800,833.194800,0.2502,0.0991,0.2500,0.0303
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0028,1983,0.9084584217171718,1.215525144345238,0,804.369600,692.674800,730.334800,778.310000,708.535600,0.2494,0.0301,0.2488,0.0067
B,e3,9,storm2,90,,1.0,0.25,301,c09_storm2_w80_u90_0029,1983,0.9084584217171718,1.215525144345238,0,3061.778400,2862.777600,2856.388000,3003.177600,2877.221600,0.2504,0.0262,0.2489,0.0174
