t_bh,wo,n_cand,recorded_class,s_hat,s_lo,s_hi,c_hat,c_hat_lo,c_hat_hi,interval_width,margin,rival,verdict,c_star_eval_only
56.0656,W1545,47,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,-0.1118099766979686,W1549,refer,3
56.06849999999999,W1549,46,2,-0.030414357781410217,-0.3206581622362137,0.25982944667339325,2.03041435778141,1.7401705533266068,2.3206581622362137,0.5804876089096069,0.0023928924316159875,W1544,automate,2
56.0794,W1542,41,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,-0.6325785872926122,W1548,refer,2
56.163999999999994,W1483,6,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-4.399587254436883e-16,W1418,refer,4
56.272600000000004,W1544,45,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-3.9118321753104936e-10,W1250,refer,4
56.362100000000005,W1530,47,3,-0.45633772015571594,-0.7465815246105194,-0.16609391570091248,3.456337720155716,3.1660939157009125,3.7465815246105194,0.5804876089096069,-2.75915903799832e-12,W1472,refer,4
56.36769999999999,W1550,43,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,-0.5593767877064978,W1548,refer,2
56.371199999999995,W1548,42,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,-0.16085530460090292,W1543,refer,2
56.390299999999996,W1543,41,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.04019084256582282,W1551,automate,3
56.4182,W1552,45,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-3.94261085712564e-10,W1250,refer,3
