scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,5,storm150_a200_c80,1.0,0.5,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,0.5,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,0.5,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,0.75,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,0.75,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,0.75,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,1.0,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,1.0,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,1.0,1.0,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,0.5,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,0.5,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,0.5,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,0.75,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,0.75,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,0.75,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,1.0,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,1.0,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm150_a200_c80,2.0,1.0,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,0.5,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,0.5,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,0.5,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
