scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses,util_pooled,util_worst,incomplete_at_horizon,mean_nlate_rule
campus,9,pmmix_p80_c100,edd,0.5,30,261.8438,261.8438,0.0000,0.0000,0,30,0,0.1683,0.2671,19.33,-1.00
campus,9,gen400_default,edd,0.5,40,204.4817,204.4817,0.0000,0.0000,0,40,0,0.1658,0.2803,16.70,-1.00
campus,9,pmmix_c60_poolpm,edd,0.5,90,536.8108,536.4899,0.3209,0.0598,2,87,1,0.2735,0.4437,18.62,-1.00
campus,9,pmmix_c100_poolpm,edd,0.5,90,496.4235,496.4235,0.0000,0.0000,0,90,0,0.1658,0.2685,18.51,-1.00
campus,12,pmmix_p20_c60,edd,0.5,30,1351.9129,1347.5952,4.3177,0.3194,8,21,1,0.7781,1.4217,80.20,-1.00
campus,12,pmmix_p20_c100,edd,0.5,30,1400.8336,1400.8336,0.0000,0.0000,0,30,0,0.4685,0.8539,76.80,-1.00
campus,12,pmmix_p50_c60,edd,0.5,30,885.5993,885.2641,0.3352,0.0379,1,29,0,0.7888,1.3821,80.53,-1.00
campus,12,pmmix_p50_c100,edd,0.5,30,847.6616,847.6616,0.0000,0.0000,0,30,0,0.4750,0.8298,77.40,-1.00
campus,12,pmmix_p80_c60,edd,0.5,30,481.6051,480.8209,0.7842,0.1628,3,27,0,0.7943,1.3747,80.33,-1.00
campus,12,pmmix_p80_c100,edd,0.5,30,492.1073,492.1073,0.0000,0.0000,0,30,0,0.4783,0.8201,78.23,-1.00
campus,12,gen400_default,edd,0.5,40,1435.2421,1435.2421,0.0000,0.0000,0,40,0,0.4756,0.8591,75.42,-1.00
campus,12,pmmix_c60_poolpm,edd,0.5,90,906.3724,904.5601,1.8124,0.2000,12,77,1,0.7871,1.3928,80.36,-1.00
campus,12,pmmix_c100_poolpm,edd,0.5,90,913.5341,913.5341,0.0000,0.0000,0,90,0,0.4739,0.8346,77.48,-1.00
campus,5,pmmix_p20_c60,edd,0.5,30,277.6479,229.9552,47.6927,17.1774,7,22,1,0.4238,0.9322,35.60,-1.00
campus,5,pmmix_p20_c100,edd,0.5,30,121.8836,121.7320,0.1516,0.1244,1,29,0,0.2521,0.4989,31.00,-1.00
