campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0018,400,60,84.8541,0.2790,0.5320,C30,18,110.2262,984.1976,984.1976,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0018,400,60,84.8541,0.2790,0.5320,C30,18,110.2262,746.9564,746.9564,15,15
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0018,400,60,84.8541,0.2790,0.5320,C30,18,110.2262,746.9564,746.9564,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0019,400,60,83.3932,0.2905,0.4903,B30,9,115.2044,1083.2940,1083.2940,17,17
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0019,400,60,83.3932,0.2905,0.4903,B30,9,115.2044,1083.2940,1083.2940,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0019,400,60,83.3932,0.2905,0.4903,B30,9,115.2044,1123.1108,1123.1108,18,18
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0019,400,60,83.3932,0.2905,0.4903,B30,9,115.2044,1123.1108,1123.1108,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0019,400,60,83.3932,0.2905,0.4903,B30,9,115.2044,1223.6948,1223.6948,20,20
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0019,400,60,83.3932,0.2905,0.4903,B30,9,115.2044,1223.6948,1223.6948,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0020,400,60,84.0839,0.2767,0.4451,D20,21,117.8739,636.4480,636.4480,13,13
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0020,400,60,84.0839,0.2767,0.4451,D20,21,117.8739,636.4480,636.4480,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0020,400,60,84.0839,0.2767,0.4451,D20,21,117.8739,988.2552,988.2552,15,15
