campus,size,arrival,rule,beta,inst_id,twt_rule,twt_oracle,twt_rule_wonly,twt_oracle_wonly,n_shift,feasible,util_pooled,util_worst,worst_trade,window_bh,makespan,incomplete_at_window,n_wos
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0027,126.4808,126.4808,,,89,1,0.2574,0.4327,D90,27.509,45.065,17,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0027,126.4808,126.4808,139.4094,139.4094,91,1,0.2574,0.4327,D90,27.509,45.065,17,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0027,126.4808,126.4808,,,91,1,0.2574,0.4327,D90,27.509,45.065,17,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0027,0.0000,0.0000,76.1690,76.1690,77,1,0.2574,0.4327,D90,27.509,45.065,17,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0027,0.0000,0.0000,,,77,1,0.2574,0.4327,D90,27.509,45.065,17,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0028,0.0000,0.0000,0.0000,0.0000,93,1,0.2651,0.4043,D50,24.829,42.331,21,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0028,0.0000,0.0000,,,93,1,0.2651,0.4043,D50,24.829,42.331,21,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0028,0.0000,0.0000,0.0000,0.0000,87,1,0.2651,0.4043,D50,24.829,42.331,21,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0028,0.0000,0.0000,,,87,1,0.2651,0.4043,D50,24.829,42.331,21,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0028,0.0000,0.0000,0.0000,0.0000,61,1,0.2651,0.4043,D50,24.829,42.331,21,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0028,0.0000,0.0000,,,61,1,0.2651,0.4043,D50,24.829,42.331,21,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0029,2.8656,2.8656,0.0000,0.0000,85,1,0.2173,0.3598,D50,23.906,31.485,26,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0029,2.8656,2.8656,,,85,1,0.2173,0.3598,D50,23.906,31.485,26,150
