scope,rule,u,beta,util_pool,util_worst,inc_atc_frac,inc_atc,n_wos,n,mean_rule,mean_oracle,pct_headroom,wins,ties,losses
c12,edd,130,0.5,1.3210,1.7892,0.2231,806.0000,3606.8333,12,28493.0682,18195.3688,36.1411,12,0,0
c12,atc,130,0.75,1.3210,1.7892,0.2231,806.0000,3606.8333,12,25763.3603,18650.2361,27.6095,12,0,0
c12,edd,130,0.75,1.3210,1.7892,0.2231,806.0000,3606.8333,12,29653.3803,18650.2361,37.1059,12,0,0
c12,atc,130,1.0,1.3210,1.7892,0.2231,806.0000,3606.8333,12,25169.9345,18481.2770,26.5740,12,0,0
c12,edd,130,1.0,1.3210,1.7892,0.2231,806.0000,3606.8333,12,30179.1240,18481.2770,38.7614,12,0,0
c5,atc,70,0.25,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1003.5587,633.3557,36.8890,12,0,0
c5,edd,70,0.25,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1156.5627,633.3557,45.2381,11,1,0
c5,atc,70,0.5,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1285.8611,826.4622,35.7269,12,0,0
c5,edd,70,0.5,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1502.7300,826.4622,45.0026,11,1,0
c5,atc,70,0.75,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1428.9003,894.0040,37.4341,12,0,0
c5,edd,70,0.75,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1706.6061,894.0040,47.6151,12,0,0
c5,atc,70,1.0,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1653.4422,980.0673,40.7256,11,1,0
c5,edd,70,1.0,0.7148,1.1208,0.0504,115.5833,2292.8333,12,1927.8408,980.0673,49.1624,11,0,1
c5,atc,90,0.25,0.9091,1.3721,0.1012,298.6667,2945.0833,12,2836.7724,724.4112,74.4635,12,0,0
c5,edd,90,0.25,0.9091,1.3721,0.1012,298.6667,2945.0833,12,3004.3720,724.4112,75.8881,12,0,0
c5,atc,90,0.5,0.9091,1.3721,0.1012,298.6667,2945.0833,12,3308.4197,824.0039,75.0937,12,0,0
c5,edd,90,0.5,0.9091,1.3721,0.1012,298.6667,2945.0833,12,3554.0783,824.0039,76.8153,12,0,0
c5,atc,90,0.75,0.9091,1.3721,0.1012,298.6667,2945.0833,12,3922.3557,1005.6027,74.3623,12,0,0
c5,edd,90,0.75,0.9091,1.3721,0.1012,298.6667,2945.0833,12,4243.6366,1005.6027,76.3033,12,0,0
c5,atc,90,1.0,0.9091,1.3721,0.1012,298.6667,2945.0833,12,5355.5379,1122.2524,79.0450,12,0,0
c5,edd,90,1.0,0.9091,1.3721,0.1012,298.6667,2945.0833,12,5723.2134,1122.2524,80.3912,12,0,0
c5,atc,100,0.25,0.9977,1.5665,0.1389,454.3333,3261.9167,12,6546.6402,895.1241,86.3270,12,0,0
c5,edd,100,0.25,0.9977,1.5665,0.1389,454.3333,3261.9167,12,7174.1136,895.1241,87.5229,12,0,0
c5,atc,100,0.5,0.9977,1.5665,0.1389,454.3333,3261.9167,12,8055.6932,1155.2961,85.6586,12,0,0
c5,edd,100,0.5,0.9977,1.5665,0.1389,454.3333,3261.9167,12,8859.7175,1155.2961,86.9601,12,0,0
c5,atc,100,0.75,0.9977,1.5665,0.1389,454.3333,3261.9167,12,9680.7720,1431.2856,85.2152,12,0,0
c5,edd,100,0.75,0.9977,1.5665,0.1389,454.3333,3261.9167,12,10547.5658,1431.2856,86.4302,12,0,0
c5,atc,100,1.0,0.9977,1.5665,0.1389,454.3333,3261.9167,12,12433.4452,1778.3326,85.6972,12,0,0
c5,edd,100,1.0,0.9977,1.5665,0.1389,454.3333,3261.9167,12,13269.5903,1778.3326,86.5984,12,0,0
c5,atc,110,0.25,1.0837,1.7553,0.1700,612.0000,3596.8333,12,10070.2899,842.4047,91.6348,12,0,0
c5,edd,110,0.25,1.0837,1.7553,0.1700,612.0000,3596.8333,12,11001.2841,842.4047,92.3427,12,0,0
c5,atc,110,0.5,1.0837,1.7553,0.1700,612.0000,3596.8333,12,12055.0385,1122.1008,90.6919,12,0,0
c5,edd,110,0.5,1.0837,1.7553,0.1700,612.0000,3596.8333,12,13154.1176,1122.1008,91.4696,12,0,0
c5,atc,110,0.75,1.0837,1.7553,0.1700,612.0000,3596.8333,12,14127.6592,1393.2025,90.1385,12,0,0
c5,edd,110,0.75,1.0837,1.7553,0.1700,612.0000,3596.8333,12,15379.9986,1393.2025,90.9415,12,0,0
c5,atc,110,1.0,1.0837,1.7553,0.1700,612.0000,3596.8333,12,18740.5185,1891.4106,89.9074,12,0,0
c5,edd,110,1.0,1.0837,1.7553,0.1700,612.0000,3596.8333,12,20186.9211,1891.4106,90.6305,12,0,0
c5,atc,130,0.25,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,27426.5374,1304.4296,95.2439,12,0,0
c5,edd,130,0.25,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,29493.6635,1304.4296,95.5773,12,0,0
c5,atc,130,0.5,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,32382.3403,1719.1163,94.6912,12,0,0
c5,edd,130,0.5,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,35034.6960,1719.1163,95.0931,12,0,0
c5,atc,130,0.75,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,36503.3302,2264.6028,93.7962,12,0,0
c5,edd,130,0.75,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,39543.6222,2264.6028,94.2732,12,0,0
c5,atc,130,1.0,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,42514.6949,3271.5904,92.3048,12,0,0
c5,edd,130,1.0,1.3182,2.0608,0.2987,1275.5000,4271.0833,12,46136.1954,3271.5904,92.9088,12,0,0
c10,atc,70,0.25,0.7007,0.9818,0.0200,131.3333,6561.0833,12,1491.4585,1480.1772,0.7564,3,4,5
c10,edd,70,0.25,0.7007,0.9818,0.0200,131.3333,6561.0833,12,1488.3390,1480.1772,0.5484,2,7,3
c10,atc,70,0.5,0.7007,0.9818,0.0200,131.3333,6561.0833,12,1599.2969,1586.7399,0.7852,5,5,2
c10,edd,70,0.5,0.7007,0.9818,0.0200,131.3333,6561.0833,12,1596.5621,1586.7399,0.6152,3,6,3
c10,atc,70,0.75,0.7007,0.9818,0.0200,131.3333,6561.0833,12,1729.0430,1722.1896,0.3964,3,5,4
c10,edd,70,0.75,0.7007,0.9818,0.0200,131.3333,6561.0833,12,1730.3621,1722.1896,0.4723,3,5,4
