source,campus,crew_m,beta,inst_id,pooled_u,worst_u,incomplete,rec_atc,or_atc,pred_atc,rec_port,true_port,pred_port,rec_ga,true_ga,pred_ga,rulesup,rev_frac,or_rate
replay,9,0.35,0.5,c09_replay_400_0004,1.7388481481481481,4.830516666666667,271,1143.934,150.6672,344.934,640.934,150.6672,306.934,807.8668,116.0,532.2,527.6672,0.24861878453038674,0.12222222222222222
replay,9,0.35,1.0,c09_replay_400_0004,1.7388481481481481,4.830516666666667,271,595.934,132.6672,132.6672,248.93400000000003,132.6672,132.6672,238.73360000000002,119.0,119.0,345.934,0.24585635359116023,0.10112359550561797
replay,9,0.35,0.0,c09_replay_400_0005,0.9582152777777777,2.022875,96,1804.2523999999999,1622.4524,1804.2523999999999,1804.2523999999999,1622.4524,1804.2523999999999,1231.6008000000002,954.6,1231.6008000000002,1740.7192,0.24516129032258063,0.09210526315789473
replay,9,0.35,0.25,c09_replay_400_0005,0.9582152777777777,2.022875,96,1929.4643999999998,1693.2779999999998,1941.6639999999998,1929.4643999999998,1681.9847999999997,1941.6639999999998,1245.6008000000002,898.0,1200.6612000000002,1813.0772000000002,0.24516129032258063,0.15789473684210525
replay,9,0.35,0.5,c09_replay_400_0005,0.9582152777777777,2.022875,96,2071.1172,1795.4644,1936.1167999999996,2071.1172,1768.1707999999999,1936.1167999999996,1241.4672,872.5328,1091.2008,1972.7303999999997,0.24516129032258063,0.15789473684210525
replay,9,0.35,1.0,c09_replay_400_0005,0.9582152777777777,2.022875,96,1873.3167999999998,1711.6496,1711.6496,1873.3167999999998,1661.6644,1661.6644,1232.4664000000002,849.2664,849.2664,1812.1832,0.24919093851132687,0.15584415584415584
replay,9,0.35,0.0,c09_replay_400_0006,0.7035986111111111,2.075892857142857,84,644.1336,809.0663999999999,644.1336,644.1336,657.4004,644.1336,601.0,408.96659999999997,601.0,644.1336,0.24180327868852458,0.0
replay,9,0.35,0.25,c09_replay_400_0006,0.7035986111111111,2.075892857142857,84,744.6672000000001,721.1336000000001,742.0,744.6672000000001,721.1336000000001,742.0,550.0,500.0,652.5336,744.6672000000001,0.24180327868852458,0.0
replay,9,0.35,0.5,c09_replay_400_0006,0.7035986111111111,2.075892857142857,84,586.7339999999999,563.2004000000002,584.0668000000001,586.7339999999999,563.2004000000002,584.0668000000001,408.0,358.0,408.2668,584.0668000000001,0.24180327868852458,0.01694915254237288
replay,9,0.35,1.0,c09_replay_400_0006,0.7035986111111111,2.075892857142857,84,608.7339999999999,611.0004000000001,611.0004000000001,608.7339999999999,611.0004000000001,611.0004000000001,728.3335999999999,502.0,502.0,606.0668000000001,0.2459016393442623,0.03333333333333333
replay,9,0.35,0.0,c09_replay_400_0007,28.006944444444443,51.583333333333336,370,59.0,0.0,59.0,59.0,0.0,59.0,320.0,0.0,320.0,0.0,0.24808184143222506,0.030927835051546393
replay,9,0.35,0.25,c09_replay_400_0007,28.006944444444443,51.583333333333336,370,201.0,0.0,199.0,201.0,0.0,199.0,1565.0,0.0,955.0,108.0,0.24808184143222506,0.07216494845360824
replay,9,0.35,0.5,c09_replay_400_0007,28.006944444444443,51.583333333333336,370,339.0,0.0,337.0,339.0,0.0,337.0,1941.0,0.0,572.0,241.0,0.24808184143222506,0.061855670103092786
replay,9,0.35,1.0,c09_replay_400_0007,28.006944444444443,51.583333333333336,370,1197.0,1177.0,1177.0,1197.0,1177.0,1177.0,1899.0,1177.0,1177.0,1197.0,0.2506393861892583,0.0
replay,9,0.35,0.0,c09_replay_400_0008,0.6989293981481481,2.657986111111111,318,1103.5,598.0,1103.5,1029.0,598.0,1029.0,2096.0,598.0,2096.0,756.0,0.2514124293785311,0.056179775280898875
replay,9,0.35,0.25,c09_replay_400_0008,0.6989293981481481,2.657986111111111,318,1429.0,610.0,1208.0,1249.0,602.0,1208.0,2590.0,602.0,1811.5,918.0,0.2514124293785311,0.07865168539325842
replay,9,0.35,0.5,c09_replay_400_0008,0.6989293981481481,2.657986111111111,318,1613.5,610.0,1315.5,1385.5,602.0,1315.5,2977.0,602.0,1840.0,1061.5,0.2514124293785311,0.0898876404494382
replay,9,0.35,1.0,c09_replay_400_0008,0.6989293981481481,2.657986111111111,318,862.0,658.0,658.0,808.0,658.0,658.0,2056.5,657.5,657.5,862.0,0.2514124293785311,0.0
replay,9,0.35,0.0,c09_replay_400_0009,4.427083333333333,12.041666666666666,368,810.1999999999999,568.8,810.1999999999999,800.8,568.8,800.8,876.8334,560.8,876.8334,662.1999999999999,0.246684350132626,0.07526881720430108
replay,9,0.35,0.25,c09_replay_400_0009,4.427083333333333,12.041666666666666,368,661.1999999999999,596.8,597.1999999999999,661.1999999999999,596.8,597.1999999999999,707.5,596.8,673.4,597.1999999999999,0.246684350132626,0.021505376344086023
replay,9,0.35,0.5,c09_replay_400_0009,4.427083333333333,12.041666666666666,368,716.1999999999999,606.8,597.1999999999999,716.1999999999999,596.8,597.1999999999999,836.8666000000001,596.8,627.5332,598.1999999999999,0.246684350132626,0.03225806451612903
replay,9,0.35,1.0,c09_replay_400_0009,4.427083333333333,12.041666666666666,368,909.8,596.8,596.8,730.1330000000003,596.8,596.8,730.1330000000003,596.8,596.8,691.8,0.246684350132626,0.06451612903225806
replay,9,0.35,0.0,c09_replay_400_0010,0.8656994047619048,2.3236607142857144,90,1460.8656,1138.5328000000002,1460.8656,1424.8004,1123.3344000000002,1424.8004,1381.9992,986.0,1381.9992,1370.3324000000002,0.24521072796934865,0.03125
replay,9,0.35,0.25,c09_replay_400_0010,0.8656994047619048,2.3236607142857144,90,1652.6316000000004,1177.3328,1490.6323999999997,1652.6316000000004,1177.3328,1490.6323999999997,1635.8655999999999,1021.2,2049.6000000000004,1517.2312,0.24615384615384617,0.09375
replay,9,0.35,0.5,c09_replay_400_0010,0.8656994047619048,2.3236607142857144,90,1597.0313999999998,1050.2664000000002,1480.4989999999998,1597.0313999999998,1050.2664000000002,1480.4989999999998,1697.4653999999998,951.2,1434.8998000000001,1484.6982,0.24615384615384617,0.109375
replay,9,0.35,1.0,c09_replay_400_0010,0.8656994047619048,2.3236607142857144,90,1150.6313999999998,974.8990000000002,974.8990000000002,1150.6313999999998,974.8990000000002,974.8990000000002,2043.4649999999997,744.0336000000001,744.0336000000001,1055.1642000000002,0.24615384615384617,0.0625
replay,9,0.35,0.0,c09_replay_400_0011,4.681281173338741,13.675178226627773,249,1976.0336,156.8,1976.0336,485.8,156.8,485.8,674.8668,156.0,674.8668,654.5336,0.2506393861892583,0.15306122448979592
