cell,tag,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1736.040000,1322.696400,1285.333600,0.247631,0.061224,0.250473,0.047859
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3081.857200,2164.955600,1896.992800,0.250422,0.112360,0.249300,0.076404
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2555.467600,2038.110000,1851.407200,0.242049,0.099757,0.241926,0.075243
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1480.728400,1323.175200,1322.403200,0.245092,0.056848,0.247319,0.043367
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1286.512000,1204.839200,1174.773600,0.249207,0.050891,0.246671,0.023136
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0029,2294.863600,1370.337600,2047.026000,1202.247600,1059.860800,0.241265,0.075862,0.248344,0.057778
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1486.784800,1299.232000,1177.979600,0.249253,0.059952,0.247164,0.055556
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1510.807600,1398.406000,1348.460800,0.248820,0.059621,0.250000,0.040431
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0022,936.385600,926.554400,932.364800,900.178000,873.416000,0.249833,0.016043,0.249172,0.023936
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3542.074800,2836.833200,2308.195200,0.244850,0.139423,0.250441,0.115023
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1688.458400,1331.078400,1285.333600,0.247631,0.061224,0.250159,0.038071
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3268.054800,2338.484000,1896.992800,0.250422,0.112360,0.250000,0.069820
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2684.091600,2116.633200,1851.407200,0.242049,0.099757,0.241745,0.075610
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1658.456400,1324.327200,1322.403200,0.245092,0.056848,0.248895,0.038071
