decider_channel,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,m0_final_r,m0_final_orr
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,4105.752400,2496.282000,2834.593600,1996.894800,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,5792.002800,4034.514000,4054.931600,2533.840800,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,4468.718800,3929.072000,4109.313600,1938.243600,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,2299.766800,2017.252800,2061.197200,1685.882800,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1818.813200,1686.699600,2021.848800,1316.495200,0.4858,0.0745
weight_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,3978.932000,1896.589200,2328.602400,1226.778800,0.4858,0.0745
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0020,2253,2113.920800,1880.769200,1800.897200,1974.308800,1660.290800,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0021,2253,2468.501600,2305.098400,2273.021200,2425.110000,2178.691200,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0022,2253,1216.011200,1188.902400,1058.200000,1099.216000,991.862400,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0023,2253,5676.362400,4828.409200,3418.211600,4018.612400,2621.206400,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0024,2253,4396.206800,4034.795600,2557.937600,2834.593600,1996.894800,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,6411.756400,5678.601600,3911.717200,4054.931600,2533.840800,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,5006.202000,4463.745600,3925.969200,4109.313600,1938.243600,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,2535.368000,2295.874000,1751.923600,2061.197200,1685.882800,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,2083.722400,1830.004000,1737.618400,2021.848800,1316.495200,0.5142,0.0729
weight_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,4540.255600,3932.990800,2027.515600,2328.602400,1226.778800,0.5142,0.0729
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1876.874000,1786.936800,1974.308800,1660.290800,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2298.060400,2270.186400,2425.110000,2178.691200,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,1153.338000,1108.672800,1099.216000,991.862400,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,4794.966800,3300.936400,4018.612400,2621.206400,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,4012.987600,2601.142000,2834.593600,1996.894800,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,6411.756400,5762.903200,3948.480000,4054.931600,2533.840800,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,5006.202000,4427.343200,3973.467600,4109.313600,1938.243600,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,2535.368000,2273.884400,1836.034400,2061.197200,1685.882800,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,2083.722400,1763.314000,1620.498000,2021.848800,1316.495200,0.4890,0.0755
weight_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,4540.255600,3914.076000,2085.200800,2328.602400,1226.778800,0.4890,0.0755
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0020,1983,2177.667200,1502.645600,1471.321600,2154.681600,1504.394400,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0021,1983,1754.070800,1714.508400,1714.508400,1719.228400,1724.693600,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0022,1983,1255.530000,1204.615200,1204.615200,1245.562400,1218.304800,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0023,1983,1251.113600,1207.516400,1190.050000,1242.408800,1185.189600,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0024,1983,2040.184000,1455.388800,1449.343200,1727.396400,1434.189200,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0025,1983,1653.087600,1571.213200,1571.213200,1621.426000,1550.068000,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0026,1983,1769.389600,1308.895600,1299.643200,1655.275200,1308.659600,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0027,1983,1752.833600,916.214800,833.194800,1041.454800,803.994000,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0028,1983,804.369600,692.674800,708.535600,778.310000,730.334800,0.2913,0.0145
